Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
323,Hulk,br BRA,FW,Atlético Mineiro,36,1986,32.7,651,1000,65.1,10284,3063,353,450,78.4,194,293,66.2,68,152,44.7,11,6.9,6.3,4.1,60,50,45,7,109,Matches
324,José Hurtado,ec ECU,DF,Bragantino,21,2001,18,745,993,75,11988,5052,386,450,85.8,303,396,76.5,44,98,44.9,0,1.1,1.6,-1.1,14,62,20,11,86,Matches
325,Hyoran,br BRA,"MF,FW",Atlético Mineiro,29,1993,7.7,202,298,67.8,3493,935,97,109,89,83,111,74.8,19,56,33.9,0,3.1,2.7,-3.1,16,23,10,3,35,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
326,Igor,br BRA,MF,Flamengo,19,2003,0.9,51,56,91.1,869,152,25,28,89.3,21,22,95.5,4,4,100,0,0,0,0,0,5,0,0,6,Matches
327,André Inácio,br BRA,FW,Flamengo,20,2002,0.2,2,2,100,18,2,2,2,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
328,Gabriel Inocêncio,br BRA,DF,Santos,28,1994,14.2,539,711,75.8,8253,3573,300,345,87,206,281,73.3,23,53,43.4,0,0.3,0.6,-0.3,6,37,8,5,51,Matches
329,Isaac,br BRA,FW,Atlético Mineiro,18,2004,0.2,2,3,66.7,13,0,2,3,66.7,0,0,,0,0,,0,0,0,0,1,0,0,0,0,Matches
330,Isaac,br BRA,"MF,DF",Fluminense,18,2004,1.5,62,78,79.5,825,144,33,39,84.6,22,27,81.5,1,1,100,0,0.2,0.2,-0.2,4,3,1,1,1,Matches
331,Juan Iturbe,py PAR,"FW,MF",Grêmio,29,1993,0.8,19,28,67.9,261,112,12,14,85.7,5,9,55.6,1,2,50,0,0,0,0,0,2,0,0,2,Matches
332,Zé Ivaldo,br BRA,DF,Ath Paranaense,25,1997,11.3,457,567,80.6,9554,3765,147,161,91.3,239,268,89.2,67,124,54,0,0.1,0.2,-0.1,3,30,2,2,27,Matches
333,Ivonei,br BRA,MF,Santos,20,2002,0,2,3,66.7,20,0,2,3,66.7,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
334,Vítor Jacaré,br BRA,"DF,MF",Bahia,23,1999,9.5,333,469,71,5762,2270,161,187,86.1,123,176,69.9,37,71,52.1,0,1.5,1.4,-1.5,15,29,13,7,38,Matches
335,Jadsom,br BRA,MF,Bragantino,21,2001,21.1,905,1128,80.2,16548,5319,394,449,87.8,398,458,86.9,103,165,62.4,0,1,1.1,-1,18,109,15,4,136,Matches
336,Jair,br BRA,MF,Vasco da Gama,28,1994,17.7,853,962,88.7,15486,4257,359,390,92.1,385,418,92.1,92,118,78,0,1.1,1.7,-1.1,16,107,19,4,143,Matches
337,Jamerson,br BRA,"DF,FW",Coritiba,24,1998,21,706,923,76.5,11451,4520,371,429,86.5,266,335,79.4,49,102,48,1,1.7,1.9,-0.7,16,53,14,11,70,Matches
338,Janderson,br BRA,"FW,MF",Botafogo (RJ),23,1999,4.6,75,110,68.2,1068,144,37,48,77.1,26,35,74.3,4,6,66.7,1,0.9,0.5,0.1,8,3,4,2,7,Matches
339,Jandrei,br BRA,GK,São Paulo,29,1993,5,178,239,74.5,5281,3442,25,25,100,82,83,98.8,71,130,54.6,0,0.1,0,-0.1,1,2,1,0,0,Matches
340,Léo Jardim,br BRA,GK,Vasco da Gama,27,1995,38,693,953,72.7,18553,13310,151,151,100,308,311,99,209,461,45.3,0,0.1,0.1,-0.1,1,12,1,0,0,Matches
341,Jemerson,br BRA,DF,Atlético Mineiro,30,1992,27.5,1361,1534,88.7,23892,8149,521,555,93.9,697,747,93.3,97,171,56.7,1,0.1,0.6,0.9,4,63,2,0,66,Matches
342,Jesé,es ESP,MF,Coritiba,29,1993,1.1,27,34,79.4,403,60,16,20,80,10,13,76.9,1,1,100,0,0,0.2,0,2,3,0,0,4,Matches
343,Alexandre Jesus,br BRA,DF,Fluminense,21,2001,0.1,7,8,87.5,107,28,3,3,100,3,3,100,0,1,0,0,0,0,0,0,0,0,0,0,Matches
