Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
114,Nathan Camargo,br BRA,MF,Bragantino,17,2005,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
115,Gustavo Campanharo,br BRA,MF,Internacional,30,1992,7.7,26,16,12,10,4,12,32,37.5,20,10,1,9,12,38,16,0,Matches
116,Camilo Cándido,uy URU,DF,Bahia,27,1995,13.8,24,16,16,5,3,8,23,34.8,15,14,1,13,23,47,23,0,Matches
117,Luan Cândido,br BRA,DF,Bragantino,21,2001,12.0,19,12,12,5,2,7,13,53.8,6,24,8,16,13,32,45,0,Matches
118,Germán Cano,ar ARG,FW,Fluminense,34,1988,27.4,14,9,1,12,1,7,24,29.2,17,15,6,9,6,20,11,2,Matches
119,Agustín Canobbio,uy URU,"FW,MF",Ath Paranaense,24,1998,23.5,59,39,19,24,16,30,65,46.2,35,48,3,45,8,67,18,0,Matches
120,Víctor Cantillo,co COL,MF,Corinthians,29,1993,3.0,7,6,4,3,0,3,10,30.0,7,7,2,5,6,13,11,0,Matches
121,Manuel Capasso,ar ARG,DF,Vasco da Gama,26,1996,6.2,8,4,6,2,0,3,9,33.3,6,11,8,3,8,16,20,0,Matches
122,Juninho Capixaba,br BRA,DF,Bragantino,25,1997,31.9,69,54,25,28,16,35,88,39.8,53,45,12,33,79,148,85,3,Matches
123,Gabriel Carabajal,ar ARG,MF,Vasco da Gama,31,1991,1.4,1,1,0,1,0,1,2,50.0,1,0,0,0,2,3,0,0,Matches
124,Felipe Carballo,uy URU,MF,Grêmio,26,1996,17.1,31,16,13,16,2,14,49,28.6,35,14,2,12,18,49,22,1,Matches
125,Johnny Cardoso,us USA,MF,Internacional,21,2001,17.9,38,23,14,18,6,19,28,67.9,9,30,14,16,31,69,44,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Ed Carlos,br BRA,"MF,FW",Santos,21,2001,0.4,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches
127,João Carlos,br BRA,GK,Cuiabá,34,1988,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
128,Ryan Carlos,br BRA,DF,Bahia,20,2002,6.4,7,6,5,2,0,4,12,33.3,8,9,2,7,8,15,11,1,Matches
129,Alan Carvalho,cn CHN,MF,Fluminense,33,1989,0.5,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,1,0,Matches
130,Breno Cascardo,br BRA,MF,América (MG),19,2003,12.9,31,19,11,16,4,13,43,30.2,30,20,1,19,10,41,11,0,Matches
131,Cássio,br BRA,GK,Corinthians,35,1987,36.8,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,11,1,Matches
132,Luciano Castán,br BRA,DF,Cruzeiro,33,1989,35.7,29,18,21,7,1,19,26,73.1,7,26,20,6,29,58,145,1,Matches
133,Iury de Castilho,br BRA,FW,Cuiabá,27,1995,4.4,5,3,2,3,0,1,13,7.7,12,4,0,4,1,6,2,0,Matches
134,Matheus Cavichioli,br BRA,GK,América (MG),36,1986,15.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,8,2,Matches
135,Juan Cazares,ec ECU,"MF,FW",América (MG),30,1992,3.1,4,2,2,2,0,1,5,20.0,4,3,0,3,0,4,0,0,Matches
136,Brayan Ceballos,co COL,DF,Fortaleza,21,2001,2.3,2,2,1,1,0,0,0,,0,3,1,2,2,4,15,0,Matches
137,Pablo Ceppelini,uy URU,MF,Cuiabá,31,1991,11.1,14,6,6,7,1,6,33,18.2,27,10,1,9,9,23,10,0,Matches
138,Murilo Cerqueira,br BRA,DF,Palmeiras,25,1997,24.1,29,21,15,13,1,16,29,55.2,13,25,17,8,28,57,79,0,Matches
139,Ricardo Cerqueira,br BRA,MF,Cuiabá,20,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
140,Júlio César,br BRA,DF,América (MG),19,2003,6.6,9,7,6,3,0,7,9,77.8,2,15,10,5,4,13,41,0,Matches
141,Reynaldo Cesar Moraes,br BRA,DF,Cruzeiro,26,1997,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
142,Reynaldo Cesar Moraes,br BRA,DF,Coritiba,26,1997,2.7,4,3,4,0,0,1,2,50.0,1,2,2,0,7,11,19,0,Matches
143,Kayky Chagas,br BRA,"FW,MF",Bahia,19,2003,4.6,8,4,4,4,0,4,13,30.8,9,7,0,7,2,10,2,0,Matches
144,Jhon Chancellor,ve VEN,DF,Coritiba,31,1992,3.4,6,4,6,0,0,4,4,100.0,0,5,4,1,2,8,21,0,Matches
145,Gabriel Chapecó,br BRA,GK,Grêmio,22,2000,31.0,1,0,1,0,0,1,3,33.3,2,0,0,0,1,2,9,2,Matches
146,Gabriel Chaves,br BRA,"FW,MF",Vasco da Gama,21,2001,29.0,42,26,20,17,5,16,52,30.8,36,32,0,32,13,55,16,0,Matches
147,Jhoanner Chávez,ec ECU,"DF,MF",Bahia,20,2002,6.5,14,9,3,11,0,10,21,47.6,11,6,0,6,7,21,14,0,Matches
148,Chiqueti,br BRA,MF,Ath Paranaense,17,2005,0.2,,0,,,,,,,,,,,0,,,,Matches
149,Christian,br BRA,"MF,FW",Ath Paranaense,22,2000,15.1,23,13,5,15,3,8,19,42.1,11,15,1,14,10,33,9,1,Matches
150,Cicinho,bg BUL,DF,Bahia,34,1988,8.4,24,16,9,12,3,11,18,61.1,7,12,3,9,5,29,26,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
151,Cipriano,br BRA,DF,Bragantino,20,2002,0.8,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,11,0,Matches
152,Marcelo Cirino,br BRA,"FW,MF",Ath Paranaense,31,1992,1.1,2,0,0,2,0,0,1,0.0,1,2,1,1,0,2,0,0,Matches
153,Léo Cittadini,br BRA,MF,Bahia,28,1994,1.5,6,3,1,4,1,0,4,0.0,4,2,0,2,3,9,0,0,Matches
154,Léo Cittadini,br BRA,"MF,FW",Ath Paranaense,28,1994,2.2,4,4,2,1,1,2,5,40.0,3,1,1,0,2,6,2,0,Matches
155,Mateus Claus,br BRA,GK,Bahia,28,1994,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
156,Clayson,br BRA,"FW,MF",Cuiabá,27,1995,18.2,19,10,10,6,3,12,39,30.8,27,18,2,16,8,27,6,2,Matches
157,Mateus Cocão,br BRA,MF,Vasco da Gama,20,2002,3.9,13,7,6,7,0,3,9,33.3,6,9,3,6,3,16,4,0,Matches
158,Diego Costa,es ESP,FW,Botafogo (RJ),34,1988,5.7,7,5,2,3,2,0,1,0.0,1,4,0,4,3,10,4,0,Matches
159,Philippe Costa,br BRA,FW,Goiás,22,2000,1.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
160,Talles Costa,br BRA,"MF,FW",São Paulo,20,2002,1.5,4,1,3,0,1,1,1,100.0,0,2,1,1,2,6,0,0,Matches
161,Lucas Crispim,br BRA,"MF,DF",Fortaleza,28,1994,5.4,7,5,3,3,1,3,10,30.0,7,4,3,1,3,10,7,0,Matches
162,Franco Cristaldo,ar ARG,"MF,FW",Grêmio,26,1996,23.7,33,18,13,15,5,17,52,32.7,35,31,0,31,12,45,7,0,Matches
163,Tomás Cuello,ar ARG,"MF,FW",Ath Paranaense,22,2000,22.8,54,25,22,27,5,29,51,56.9,22,19,2,17,37,91,29,1,Matches
164,Víctor Cuesta,ar ARG,DF,Botafogo (RJ),34,1988,35.0,46,31,22,19,5,22,36,61.1,14,37,26,11,58,104,123,1,Matches
