,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
,66.00,Diogo Batista,br BRA,"DF,MF",Coritiba,19.00,"2,003.00",11.00,5.00,531.00,5.90,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.20,0.20,0.60,0.80,8.00,21.00,13.00,0.00,0.17,0.17,0.00,0.17,0.03,0.11,0.14,0.03,0.14,Matches
,67.00,Rodrigo Battaglia,ar ARG,MF,Atlético Mineiro,31.00,"1,991.00",22.00,19.00,"1,728.00",19.20,0.00,1.00,1.00,0.00,0.00,0.00,6.00,0.00,0.90,0.90,0.40,1.30,38.00,80.00,27.00,0.00,0.05,0.05,0.00,0.05,0.05,0.02,0.07,0.05,0.07,Matches
,68.00,José Luis Rodríguez Bebanz,uy URU,DF,Vasco da Gama,25.00,"1,997.00",32.00,22.00,"1,997.00",22.20,2.00,1.00,3.00,2.00,0.00,0.00,2.00,0.00,2.80,2.80,2.20,5.00,56.00,99.00,95.00,0.09,0.05,0.14,0.09,0.14,0.12,0.10,0.23,0.12,0.23,Matches
,69.00,Matheus Belém,br BRA,DF,São Paulo,19.00,"2,003.00",2.00,2.00,169.00,1.90,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,70.00,Lucas Belezi,br BRA,DF,Ath Paranaense,19.00,"2,003.00",1.00,0.00,45.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
,71.00,Ramiro Benetti,br BRA,MF,Cruzeiro,29.00,"1,993.00",6.00,6.00,407.00,4.50,1.00,1.00,2.00,1.00,0.00,0.00,3.00,0.00,0.80,0.80,0.60,1.40,4.00,26.00,13.00,0.22,0.22,0.44,0.22,0.44,0.17,0.14,0.31,0.17,0.31,Matches
,72.00,Martín Benítez,ar ARG,"MF,FW",América (MG),28.00,"1,994.00",20.00,14.00,"1,120.00",12.40,3.00,4.00,7.00,3.00,0.00,0.00,4.00,0.00,2.60,2.60,4.00,6.50,26.00,77.00,56.00,0.24,0.32,0.56,0.24,0.56,0.21,0.32,0.53,0.21,0.53,Matches
,73.00,Bento,br BRA,GK,Ath Paranaense,23.00,"1,999.00",33.00,33.00,"2,970.00",33.00,0.00,1.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches
,74.00,Lucas Beraldo,br BRA,DF,São Paulo,19.00,"2,003.00",24.00,24.00,"2,160.00",24.00,1.00,0.00,1.00,1.00,0.00,0.00,7.00,0.00,1.00,1.00,0.60,1.60,16.00,129.00,3.00,0.04,0.00,0.04,0.04,0.04,0.04,0.02,0.07,0.04,0.07,Matches
,75.00,Lucas Besozzi,ar ARG,"FW,MF",Grêmio,20.00,"2,003.00",12.00,5.00,399.00,4.40,1.00,1.00,2.00,1.00,0.00,0.00,1.00,0.00,0.30,0.30,0.40,0.70,30.00,23.00,47.00,0.23,0.23,0.45,0.23,0.45,0.07,0.09,0.16,0.07,0.16,Matches
